day;start;end;predator;attack1;cam
1;23:31:00;23:32:00;Opiliones;;cam_inf
2;01:11:00;01:17:00;Opiliones;01:17:00;cam_inf
2;01:51:00;01:55:00;Opiliones;;cam_inf
2;22:54:00;22:55:00;Opiliones;;cam_inf
3;23:32:00;23:33:00;Opiliones;;cam_inf
3;23:35:00;23:38:00;Opiliones;;cam_inf
4;01:37:00;01:48:00;Opiliones;;cam_inf
4;02:19:00;02:20:00;Opiliones;;cam_inf
4;02:24:00;02:26:00;Opiliones;;cam_inf
4;02:44:00;02:45:00;Opiliones;02:45:00;cam_inf
2;23:03:00;23:10:00;Opiliones;;cam_sup
2;23:04:00;23:06:00;Opiliones;;cam_sup
2;23:09:00;23:14:00;Opiliones;;cam_sup
3;01:03:00;01:05:00;Opiliones;;cam_sup
4;23:04:00;23:06:00;Opiliones;;cam_sup
4;23:09:00;23:14:00;Opiliones;;cam_sup
5;01:03:00;01:06:00;Opiliones;;cam_sup
5;19:43:00;19:45:00;Opiliones;;cam_sup
5;19:50:00;19:52:00;Opiliones;;cam_sup
5;20:16:00;20:18:00;Opiliones;;cam_sup
5;20:42:00;20:49:00;Opiliones;;cam_sup
5;21:07:00;21:09:00;Opiliones;;cam_sup
5;21:54:00;21:57:00;Opiliones;;cam_sup
5;22:29:00;22:34:00;Opiliones;;cam_sup
5;22:47:00;22:48:00;Opiliones;;cam_sup
5;23:00:00;23:01:00;Opiliones;;cam_sup
5;23:49:00;23:50:00;Opiliones;;cam_sup
6;00:03:00;00:09:00;Opiliones;;cam_sup
6;00:20:00;00:34:00;Opiliones;;cam_sup
6;00:43:00;00:54:00;Opiliones;;cam_sup
6;01:45:00;01:46:00;Opiliones;;cam_sup
6;05:05:00;05:11:00;Opiliones;;cam_sup
6;05:41:00;05:42:00;Opiliones;;cam_sup
6;19:49:00;19:53:00;Opiliones;;cam_sup
6;19:57:00;19:58:00;Opiliones;;cam_sup
7;19:13:00;19:20:00;Opiliones;;cam_sup
7;19:27:00;19:30:00;Opiliones;19:30:00;cam_sup
7;19:48:00;19:49:00;Opiliones;;cam_sup
7;20:02:00;20:15:00;Opiliones;;cam_sup
7;20:16:00;20:20:00;Opiliones;;cam_sup
7;20:45:00;20:52:00;Opiliones;20:52:00;cam_sup
7;21:00:00;21:02:00;Opiliones;;cam_sup
7;21:10:00;21:23:00;Opiliones;;cam_sup
7;21:25:00;21:39:00;Opiliones;;cam_sup
7;21:49:00;21:54:00;Opiliones;;cam_sup
7;22:08:00;22:37:00;Opiliones;;cam_sup
7;22:42:00;22:47:00;Opiliones;;cam_sup
7;23:01:00;23:08:00;Opiliones;;cam_sup
7;23:13:00;23:27:00;Opiliones;23:27:00;cam_sup
7;23:27:00;23:59:00;Opiliones;;cam_sup
8;00:01:00;00:34:00;Opiliones;;cam_sup
8;00:37:00;00:43:00;Opiliones;;cam_sup
8;00:44:00;00:54:00;Opiliones;;cam_sup
8;00:59:00;01:00:00;Opiliones;01:00:00;cam_sup
8;01:37:00;01:53:00;Opiliones;;cam_sup
8;01:56:00;02:05:00;Opiliones;;cam_sup
8;02:16:00;02:19:00;Opiliones;;cam_sup
8;02:25:00;02:28:00;Opiliones;;cam_sup
8;02:43:00;03:19:00;Opiliones;03:19:00;cam_sup
8;03:20:00;03:22:00;Opiliones;;cam_sup
8;03:26:00;03:30:00;Opiliones;;cam_sup
8;03:31:00;03:37:00;Opiliones;;cam_sup
8;03:50:00;03:51:00;Opiliones;;cam_sup
8;03:59:00;04:03:00;Opiliones;;cam_sup
8;04:22:00;04:26:00;Opiliones;04:25:00;cam_sup
8;04:29:00;04:36:00;Opiliones;04:36:00;cam_sup
8;04:43:00;04:45:00;Opiliones;;cam_sup
8;04:47:00;04:51:00;Opiliones;;cam_sup
8;04:52:00;04:54:00;Opiliones;;cam_sup
8;05:25:00;05:29:00;Opiliones;;cam_sup
8;05:43:00;05:47:00;Opiliones;;cam_sup
8;05:52:00;06:09:00;Opiliones;;cam_sup
7;19:05:00;19:05:00;Opiliones;;cam_inf
7;19:18:00;19:19:00;Opiliones;;cam_inf
7;20:31:00;20:31:00;Opiliones;;cam_inf
7;22:46:00;22:47:00;Opiliones;;cam_inf
7;22:53:00;22:54:00;Opiliones;;cam_inf
8;03:16:00;03:17:00;Opiliones;;cam_inf
8;03:44:00;03:46:00;Opiliones;;cam_inf
8;03:47:00;03:49:00;Opiliones;;cam_inf
8;03:57:00;03:58:00;Opiliones;03:58:00;cam_inf
8;04:05:00;04:11:00;Opiliones;04:11:00;cam_inf
8;04:18:00;04:21:00;Opiliones;;cam_inf
8;04:21:00;04:22:00;Opiliones;;cam_inf
8;04:24:00;04:28:00;Opiliones;;cam_inf
8;04:29:00;04:59:00;Opiliones;;cam_inf
8;05:01:00;05:12:00;Opiliones;;cam_inf
8;05:13:00;05:14:00;Opiliones;05:14:00;cam_inf
8;05:17:00;05:20:00;Opiliones;;cam_inf
8;05:27:00;05:33:00;Opiliones;05:30:00;cam_inf
8;05:36:00;05:40:00;Opiliones;;cam_inf
8;05:49:00;05:50:00;Opiliones;;cam_inf
8;06:09:00;06:10:00;Opiliones;;cam_inf
