jours;debut;ending;predator;attack1;attack2;attack3;attack4;attack5;attack6;attack7;attack8;attack9;attack10;attack11;attack12;attack13;attack14;attack15;attack16;attack17;attack18;attack19;attack20;attack21;attack22;attack23;cam
1;20:54:00;20:55:00;Opiliones;;;;;;;;;;;;;;;;;;;;;;;;cam_inf
1;20:57:00;20:58:00;Opiliones;;;;;;;;;;;;;;;;;;;;;;;;cam_inf
1;21:03:00;21:04:00;Opiliones;21:04:00;;;;;;;;;;;;;;;;;;;;;;;cam_inf
1;21:12:00;21:17:00;Opiliones;;;;;;;;;;;;;;;;;;;;;;;;cam_inf
1;21:21:00;21:22:00;Opiliones;21:22:00;;;;;;;;;;;;;;;;;;;;;;;cam_inf
1;21:37:00;21:42:00;Opiliones;21:42:00;;;;;;;;;;;;;;;;;;;;;;;cam_inf
1;21:50:00;22:01:00;Reduviidae;21:50:00;21:51:00;21:55:00;22:00:00;22:01:00;;;;;;;;;;;;;;;;;;;cam_inf
1;21:57:00;22:00:00;Opiliones;22:00:00;;;;;;;;;;;;;;;;;;;;;;;cam_inf
1;22:25:00;22:28:00;Opiliones;22:28:00;;;;;;;;;;;;;;;;;;;;;;;cam_inf
1;22:31:00;22:32:00;Opiliones;;;;;;;;;;;;;;;;;;;;;;;;cam_inf
1;22:48:00;22:57:00;Opiliones;;;;;;;;;;;;;;;;;;;;;;;;cam_inf
1;23:28:00;23:29:00;Opiliones;23:29:00;;;;;;;;;;;;;;;;;;;;;;;cam_inf
1;23:38:00;23:40:00;Reduviidae;23:40:00;;;;;;;;;;;;;;;;;;;;;;;cam_inf
1;23:41:00;23:42:00;Reduviidae;23:42:00;;;;;;;;;;;;;;;;;;;;;;;cam_inf
1;23:43:00;23:46:00;Reduviidae;23:46:00;;;;;;;;;;;;;;;;;;;;;;;cam_inf
1/2;23:53:00;00:13:00;Opiliones;00:13:00;;;;;;;;;;;;;;;;;;;;;;;cam_inf
2;00:39:00;00:47:00;Reduviidae;00:40:00;00:42:00;;;;;;;;;;;;;;;;;;;;;;cam_inf
2;00:40:00;01:03:00;Opiliones;;;;;;;;;;;;;;;;;;;;;;;;cam_inf
2;00:59:20;01:00:00;Reduviidae;01:00:00;;;;;;;;;;;;;;;;;;;;;;;cam_inf
2;01:02:00;01:03:00;Reduviidae;01:03:00;;;;;;;;;;;;;;;;;;;;;;;cam_inf
2;01:05:00;01:07:00;Opiliones;01:07:00;;;;;;;;;;;;;;;;;;;;;;;cam_inf
2;01:17:00;01:18:00;Opiliones;;;;;;;;;;;;;;;;;;;;;;;;cam_inf
2;01:37:00;01:47:00;Opiliones;01:47:00;;;;;;;;;;;;;;;;;;;;;;;cam_inf
2;01:48:23;01:48:59;Opiliones;;;;;;;;;;;;;;;;;;;;;;;;cam_inf
2;02:03:17;02:05:34;Opiliones;;;;;;;;;;;;;;;;;;;;;;;;cam_inf
2;02:10:24;02:11:25;Opiliones;;;;;;;;;;;;;;;;;;;;;;;;cam_inf
2;02:12:00;02:15:00;Reduviidae;02:15:00;;;;;;;;;;;;;;;;;;;;;;;cam_inf
2;02:12:00;02:19:00;Opiliones;;;;;;;;;;;;;;;;;;;;;;;;cam_inf
2;02:44:00;02:47:00;Opiliones;;;;;;;;;;;;;;;;;;;;;;;;cam_inf
2;02:45:00;07:16:00;Reduviidae;02:49:00;02:52:00;02:54:00;03:04:00;03:29:00;03:31:00;03:37:00;03:40:00;04:10:00;04:11:00;04:25:00;04:47:00;04:52:00;04:55:00;04:56:00;05:01:00;05:39:00;05:45:00;05:48:00;05:53:00;06:15:00;06:24:00;06:52:00;cam_inf
2;02:52:00;02:53:00;Opiliones;;;;;;;;;;;;;;;;;;;;;;;;cam_inf
2;03:35:00;03:36:00;Opiliones;;;;;;;;;;;;;;;;;;;;;;;;cam_inf
2;04:41:04;04:43:00;Opiliones;;;;;;;;;;;;;;;;;;;;;;;;cam_inf
2;08:15:00;08:29:00;Reduviidae;08:16:00;08:20:00;08:22:00;;;;;;;;;;;;;;;;;;;;;cam_inf
